,report_id,theme_id,theme_name,title,text,combined_text,url,latitude,longitude,country_iso3,country_name,date_created,source_id,source_name,format,word_count
0,10365,[4590],['Coordination'],"The MFEWS Central America Weather Hazards and Benefits Assessment (July 24 - July 30, 2008)",Note: document is two pages,"The MFEWS Central America Weather Hazards and Benefits Assessment (July 24 - July 30, 2008) Note: document is two pages",https://reliefweb.int/node/10365,17.22,-88.69,blz,Belize,2008-07-23T04:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,20.0
1,10419,[4590],['Coordination'],"The MFEWS Central America Weather Hazards and Benefits Assessment For July 31 - August 6, 2008",Note: Document is two pages.,"The MFEWS Central America Weather Hazards and Benefits Assessment For July 31 - August 6, 2008 Note: Document is two pages.",https://reliefweb.int/node/10419,17.22,-88.69,blz,Belize,2008-07-30T04:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,21.0
2,10453,[4590],['Coordination'],"The MFEWS Central America Weather Hazards and Benefits Assessment For August 7 - August 13, 2008",NOTE: Document is two pages.,"The MFEWS Central America Weather Hazards and Benefits Assessment For August 7 - August 13, 2008 NOTE: Document is two pages.",https://reliefweb.int/node/10453,17.22,-88.69,blz,Belize,2008-08-06T04:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,21.0
3,10506,[4590],['Coordination'],"Central America Weather Hazards Assessment: August 14 - 20, 2008",Note: Document is two pages,"Central America Weather Hazards Assessment: August 14 - 20, 2008 Note: Document is two pages",https://reliefweb.int/node/10506,17.22,-88.69,blz,Belize,2008-08-14T04:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,15.0
4,10657,[4590],['Coordination'],"Central America Weather Hazards Assessment: August 28 - September 3, 2008",Note: Document is two pages,"Central America Weather Hazards Assessment: August 28 - September 3, 2008 Note: Document is two pages",https://reliefweb.int/node/10657,17.22,-88.69,blz,Belize,2008-08-28T04:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,16.0
5,10711,[4590],['Coordination'],"The MFEWS Central America Weather Hazards and Benefits Assessment For September 4 - September 10, 2008",Note: Document is two pages,"The MFEWS Central America Weather Hazards and Benefits Assessment For September 4 - September 10, 2008 Note: Document is two pages",https://reliefweb.int/node/10711,17.22,-88.69,blz,Belize,2008-09-03T04:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,21.0
6,10901,"[4587, 4590]","['Agriculture', 'Coordination']","Central America Weather Hazards Assessment: September 18 - 24, 2008",Note: Document is 2 pages,"Central America Weather Hazards Assessment: September 18 - 24, 2008 Note: Document is 2 pages",https://reliefweb.int/node/10901,17.22,-88.69,blz,Belize,2008-09-17T04:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,15.0
7,11183,[4590],['Coordination'],Somalia Flood Watch - Issued: 14 October 2008,Note: Document is 3 pages,Somalia Flood Watch - Issued: 14 October 2008 Note: Document is 3 pages,https://reliefweb.int/node/11183,5.79,47.33,som,Somalia,2008-10-14T04:00:00+00:00,2836,Food and Agriculture Organization of the United Nations,News and Press Release,13.0
8,11407,[4590],['Coordination'],Somalia Flood Watch - Issued: 29 October 2008,Note: Document is 3 pages,Somalia Flood Watch - Issued: 29 October 2008 Note: Document is 3 pages,https://reliefweb.int/node/11407,5.79,47.33,som,Somalia,2008-10-29T04:00:00+00:00,2836,Food and Agriculture Organization of the United Nations,News and Press Release,13.0
9,11457,[4590],['Coordination'],"The MFEWS Central America Weather Hazards and Benefits Assessment For October 30 - November 5, 2008",Note: Document is two pages,"The MFEWS Central America Weather Hazards and Benefits Assessment For October 30 - November 5, 2008 Note: Document is two pages",https://reliefweb.int/node/11457,15.61,-90.39,gtm,Guatemala,2008-10-29T04:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,21.0
10,11504,[4590],['Coordination'],Somalia Flood Watch - Issued: 4 November 2008,Note: Document is 3 pages.,Somalia Flood Watch - Issued: 4 November 2008 Note: Document is 3 pages.,https://reliefweb.int/node/11504,5.79,47.33,som,Somalia,2008-11-04T05:00:00+00:00,2836,Food and Agriculture Organization of the United Nations,News and Press Release,13.0
11,11520,[4590],['Coordination'],"The MFEWS Central America Weather Hazards and Benefits Assessment For November 6 - November 12, 2008",Note: Document is 2 pages.,"The MFEWS Central America Weather Hazards and Benefits Assessment For November 6 - November 12, 2008 Note: Document is 2 pages.",https://reliefweb.int/node/11520,14.82,-86.62,hnd,Honduras,2008-11-06T05:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,21.0
12,11645,[4590],['Coordination'],Somalia Flood Watch - Issued: 18 November 2008,Note: Document is 3 pages,Somalia Flood Watch - Issued: 18 November 2008 Note: Document is 3 pages,https://reliefweb.int/node/11645,5.79,47.33,som,Somalia,2008-11-18T05:00:00+00:00,2836,Food and Agriculture Organization of the United Nations,News and Press Release,13.0
13,11725,[4590],['Coordination'],Somalia Flood Watch - Issued: 25 November 2008,Note: Document is 3 pages,Somalia Flood Watch - Issued: 25 November 2008 Note: Document is 3 pages,https://reliefweb.int/node/11725,5.79,47.33,som,Somalia,2008-11-25T05:00:00+00:00,2836,Food and Agriculture Organization of the United Nations,News and Press Release,13.0
14,11733,[4590],['Coordination'],"The MFEWS Central America Weather Hazards and Benefits Assessment For November 27 - December 03, 2008",Note: Document is 2 pages.,"The MFEWS Central America Weather Hazards and Benefits Assessment For November 27 - December 03, 2008 Note: Document is 2 pages.",https://reliefweb.int/node/11733,9.97,-84.19,cri,Costa Rica,2008-11-27T05:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,21.0
15,11790,[4590],['Coordination'],"The MFEWS Central America Weather Hazards and Benefits Assessment For November 27 - December 3, 2008",Note: Map production date estimated,"The MFEWS Central America Weather Hazards and Benefits Assessment For November 27 - December 3, 2008 Note: Map production date estimated",https://reliefweb.int/node/11790,15.61,-90.39,gtm,Guatemala,2008-12-03T05:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,21.0
16,12511,"[4587, 4590, 4593]","['Agriculture', 'Coordination', 'Food and Nutrition']","Weather Hazards Impacts Assessment for Africa: March 26 - April 1, 2009",Note: Document is 2 page,"Weather Hazards Impacts Assessment for Africa: March 26 - April 1, 2009 Note: Document is 2 page",https://reliefweb.int/node/12511,-12.1,17.91,ago,Angola,2009-03-25T04:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,17.0
17,12555,"[4587, 4590, 4593]","['Agriculture', 'Coordination', 'Food and Nutrition']","Weather Hazards Impacts Assessment for Africa: April 1 - 8, 2009",Note: Document is 2 pages,"Weather Hazards Impacts Assessment for Africa: April 1 - 8, 2009 Note: Document is 2 pages",https://reliefweb.int/node/12555,-12.1,17.91,ago,Angola,2009-04-02T04:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,16.0
18,12609,[4590],['Coordination'],Somalia Flood Watch - Issued: 7 April 2009,Note: Document is 2 pages,Somalia Flood Watch - Issued: 7 April 2009 Note: Document is 2 pages,https://reliefweb.int/node/12609,5.79,47.33,som,Somalia,2009-04-07T04:00:00+00:00,2836,Food and Agriculture Organization of the United Nations,News and Press Release,13.0
19,12825,[4590],['Coordination'],Somalia: Rain Watch (as of 14 Apr 2009),Note: Document is two pages,Somalia: Rain Watch (as of 14 Apr 2009) Note: Document is two pages,https://reliefweb.int/node/12825,5.79,47.33,som,Somalia,2009-04-14T04:00:00+00:00,529,Famine Early Warning System Network,Situation Report,13.0
20,13323,[4590],['Coordination'],Somalia Flood Watch - Issued: 19 May 2009,Note: Document is 3 pages,Somalia Flood Watch - Issued: 19 May 2009 Note: Document is 3 pages,https://reliefweb.int/node/13323,5.79,47.33,som,Somalia,2009-05-19T04:00:00+00:00,2836,Food and Agriculture Organization of the United Nations,News and Press Release,13.0
21,13692,[4590],['Coordination'],"The MFEWS Central America Weather Hazards and Benefits Assessments for July 23 - 29, 2009",Note: Document is 2 pages,"The MFEWS Central America Weather Hazards and Benefits Assessments for July 23 - 29, 2009 Note: Document is 2 pages",https://reliefweb.int/node/13692,17.22,-88.69,blz,Belize,2009-07-22T04:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,20.0
22,13860,[4590],['Coordination'],"The MFEWS Central America Weather Hazards and Benefits Assessments for August 6 - 12, 2009",Note: Document is 2 pages,"The MFEWS Central America Weather Hazards and Benefits Assessments for August 6 - 12, 2009 Note: Document is 2 pages",https://reliefweb.int/node/13860,14.82,-86.62,hnd,Honduras,2009-08-06T04:00:00+00:00,529,Famine Early Warning System Network,News and Press Release,20.0
23,14398,[4587],['Agriculture'],Somalia Flood Watch - Issued: 6 October 2009,Note: Document is 3 pages,Somalia Flood Watch - Issued: 6 October 2009 Note: Document is 3 pages,https://reliefweb.int/node/14398,5.79,47.33,som,Somalia,2009-10-06T04:00:00+00:00,2836,Food and Agriculture Organization of the United Nations,News and Press Release,13.0
24,14505,[4587],['Agriculture'],Somalia Flood Watch - Issued: 13 October 2009,Note: Document is 3 pages,Somalia Flood Watch - Issued: 13 October 2009 Note: Document is 3 pages,https://reliefweb.int/node/14505,5.79,47.33,som,Somalia,2009-10-13T04:00:00+00:00,2836,Food and Agriculture Organization of the United Nations,News and Press Release,13.0
